"cog_state","prob_ave_workload","prob_bds_workload","prob_distraction","prob_fbds_workload","prob_high_eng","prob_low_eng","prob_sleep_onset","fz_o1_gamma","fz_pz_alpha","fz_t3_beta","n_fixations","n_saccades","pupil_size","scan_path_length","option","complexity_type","subject","option_type","mot","vs","response","predicted_values","residuals"
0.9,0.651423,0.648117666666667,8e-06,0.654728333333333,0.755916,0.239681666666667,0.004394,0.340209289162401,0.152239503456238,0.506279371441184,10,57,3.82309920035753,139.975104514592,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.532142214728305,0.467857785271695
0.8,0.461397666666667,0.419007666666667,3.33333333333333e-07,0.503788,0.516081,0.396123,0.0877956666666667,0.435368421097504,0.512518671197832,0.258611394773127,10,54,3.69437036281679,85.7439619444184,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.566489049355619,0.433510950644381
0.7,0.403749,0.379935666666667,4.46666666666667e-05,0.427562666666667,0.310209,0.686175666666667,0.00357066666666667,0.706297451689028,0.289895918358889,0.221592565546098,8,56,3.75472797163381,118.025618488259,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.523085888208003,-0.523085888208003
0.8,0.364369666666667,0.370231666666667,0.000912333333333333,0.358508,0.630937333333333,0.364151333333333,0.00399866666666667,0.356562729015056,0.220035223242906,0.305279500139197,9,54,3.70989662528838,152.953326990838,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.562840310914639,0.437159689085361
0.7,0.522086,0.493220333333333,4.93333333333333e-05,0.550951333333333,0.419987333333333,0.420262333333333,0.159701,0.424713766945842,0.274341896305166,0.359253864011331,8,56,3.71462787397756,109.210480996349,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.599038464139498,0.400961535860502
0.7,0.420606333333333,0.407769666666667,0.000144666666666667,0.433442,0.317176333333333,0.682473,0.000205666666666667,0.46641790192611,0.172170226915488,0.322949400645225,6,56,3.34561062499181,65.3774783361735,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.613410844690119,-0.613410844690119
0.433333333333333,0.3821,0.438187333333333,0,0.326012666666667,0.0820246666666667,0.625736,0.292239666666667,0.545134100821199,0.21542585185571,0.260409405945524,7,57,3.78954875869239,156.969909510201,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.652704155277069,0.347295844722931
0.9,0.40557,0.402500666666667,2e-05,0.408639333333333,0.803233333333333,0.196682333333333,6.4e-05,0.543059918049275,0.42209870511344,0.267149794209955,8,56,4.03859375307224,185.508420127358,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.440009139371421,-0.440009139371421
0.7,0.367924,0.331692333333333,3.66666666666667e-06,0.404155333333333,0.353895666666667,0.643925333333333,0.00217533333333333,0.343186088920937,0.272636845642304,0.430562880420243,3,57,3.79435074569395,187.522906573224,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.650002722262545,-0.650002722262545
0.433333333333333,0.591154333333333,0.565682,1.66666666666667e-06,0.616626333333333,0.216962666666667,0.440623666666667,0.342411666666667,0.536730924017005,0.1762249559696,0.356905209910749,10,56,3.85118394890088,172.322276897782,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.615995902019282,0.384004097980718
0.7,0.482613666666667,0.434467666666667,0.000600333333333333,0.53076,0.396384333333333,0.602940666666667,7.46666666666667e-05,0.152789296246189,0.467458572804194,0.128558379601295,8,57,3.64901093348561,187.868499085998,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.710754733835816,-0.710754733835816
0.8,0.290576333333333,0.290797666666667,0.000559,0.290355,0.529711666666667,0.468310333333333,0.00141933333333333,0.542845939764842,0.53831022173224,0.373444882337641,6,57,3.86672871224832,75.6661678361287,"caution_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,0,0.521060071773584,-0.521060071773584
0.8,0.353666666666667,0.379163333333333,0,0.328170666666667,0.729947333333333,0.261660666666667,0.00839166666666667,0.196475338938732,0.0835918689088975,0.210694727941596,8,57,3.91877237102329,135.315169502152,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.595187353050865,0.404812646949135
0.8,0.412958333333333,0.433711666666667,9.03333333333333e-05,0.392205,0.590380666666667,0.398984333333333,0.010544,0.416162319682885,0.241908478291714,0.393181534972253,6,56,3.84383338569795,69.5133417201035,"target_option","S002",2009,"pre_option",0.816666666666667,0.633333333333333,1,0.55189174558738,0.44810825441262
0.8,0.370629666666667,0.379668,0.154268666666667,0.361591666666667,0.507110333333333,0.338621,0,0.661330466052486,0.40242141996892,0.38525078369706,13,60,4.35684549300397,159.137810795521,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.405376834862459,-0.405376834862459
0.8,0.387570666666667,0.408024666666667,0.000815666666666667,0.367116666666667,0.647544,0.351640333333333,0,0.416704742346972,0.358678329703557,0.424909954477711,9,59,4.37280917410123,115.126165748976,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.458020722646842,-0.458020722646842
0.7,0.382719666666667,0.392700666666667,0.048789,0.372738666666667,0.320094333333333,0.631116333333333,3.33333333333333e-07,0.523738943646704,0.200911505989272,0.412017696855105,10,63,4.44059758340159,147.147881612044,"target_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,1,0.513729879145378,0.486270120854622
0.633333333333333,0.435471,0.576201,0,0.294741333333333,0.633133,0.0335336666666667,0.333333333333333,0.474233743769475,0.423036422801673,0.422960868859391,7,59,4.36942867155998,135.053447813345,"caution_option","S002",2011,"pre_option",0.766666666666667,0.766666666666667,0,0.440129924951318,-0.440129924951318
